"","PERIODO_OFICIALIZACION","SUBREGIMEN","REGION_ORIGEN","PAIS_ORIGEN_DESC","REGION_PROCEDENCIA","PAIS_PROCEDENCIA_DESC","MEDIO_TRANSPORTE_DESC","ADUANA_DESC","REGION_ADUANA","UNIDAD_DESC","CAPITULO","PARTIDA","CANTIDAD_UNIDAD","KILOS_NETOS","MONTO_FOB_DOLAR","CANAL"
"1968",201703,"IC04","CN","CHINA","CN","CHINA","ACUATICO","ROSARIO","DIR_REG_AD_HIDROV,"UNIDAD","87","8711",180,23037,117000,"N"
"1969",201701,"IC03","MS","BRASIL","MS","BRASIL","CAMION","PASO_DE_LOS_LIBRES","DIR_REG_AD_HIDROV,"UNIDAD","85","8507",7186,121261.2,338382.99,"R"
"1970",201701,"IG04","MS","BRASIL","MS","BRASIL","CAMION","ROSARIO","DIR_REG_AD_HIDROV,"UNIDAD","87","8703",60,61746,536350,"N"
"1971",201702,"IC05","MS","BRASIL","MS","BRASIL","CAMION","SANTO_TOME","DIR_REG_AD_HIDROV,"UNIDAD","87","8704",1,7270,61277,"R"
"1972",201701,"IG05","MS","BRASIL","MS","BRASIL","CAMION","ROSARIO","DIR_REG_AD_HIDROV,"UNIDAD","87","8703",20,20000,189290,"V"
"1973",201701,"IG04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","ACUATICO","CAMPANA","SUB_GRAL_DE_OP_ADUNERAS_MET","UNIDAD","87","8701",5,46255,504152.26,"N"
"1974",201701,"IC04","MS","BRASIL","MS","BRASIL","CAMION","ROSARIO","DIR_REG_AD_HIDROV,"UNIDAD","87","8716",3,21810,75060,"N"
"1975",201702,"IG04","UE","REP_FED_DE_ALEMANIA","UE","BELGICA","ACUATICO","CAMPANA","SUB_GRAL_DE_OP_ADUNERAS_MET","UNIDAD","87","8704",7,75773,569403,"V"
"1976",201702,"IG04","CN","CHINA","CN","CHINA","ACUATICO","CAMPANA","SUB_GRAL_DE_OP_ADUNERAS_MET","UNIDAD","87","8711",120,14553.8,111240,"R"
"1977",201701,"IC04","UE","REP_FED_DE_ALEMANIA","UE","REP_FED_DE_ALEMANIA","ACUATICO","CAMPANA","SUB_GRAL_DE_OP_ADUNERAS_MET","UNIDAD","87","8705",1,117100,1084825.19,"N"
"1978",201701,"IG05","XX","COREA_REPUBLICANA","XX","COREA_REPUBLICANA","ACUATICO","ROSARIO","DIR_REG_AD_HIDROV,"UNIDAD","85","8515",1,1211.19,46790,"N"
